Date of Measurement,Device Model,Operating System Version,Task Type,Brightness Level (%),Battery Life (hours:minutes),Battery Health (%),Device Temperature (°C),CPU Utilization (%),Memory Usage (% RAM)
2025-04-25,Lenovo Yoga 9i,Android 14,Gaming,39.0,7:27,88.0,51.4,15.0,63.0
2025-04-25,iPad Air 5,Windows 11 23H2,Streaming,88.0,9:26,87.0,53.5,82.0,45.0
2025-04-23,Pixel 7,ios 17.4,Video Editing,93.0,10:45,93.0,45.3,34.0,68.0
2025-04-02,"MacBook Pro 14""",Windows 11 23H2,Idle,31.0,8:02,96.0,47.6,24.0,72.0
2025-04-11,Surface Pro 9,Windows 11 23H2,Video Editing,86.0,4:46,98.0,50.0,54.0,34.0
2025-04-22,iPad Air 5,iPadOS 17.4,Video Editing,70.0,8:53,93.0,36.2,61.0,58.0
2025-04-23,HP Spectre x360,macOS 13.3.1,Gaming,61.0,8:03,96.0,42.9,64.0,68.0
2025-04-15,Galaxy Tab S8,macOS 13.3.1,Gaming,66.0,5:34,97.0,51.5,16.0,61.0
2025-04-03,"MacBook Pro 14""",ios 17.4,Gaming,71.0,4:15,90.0,35.7,11.0,26.0
2025-04-10,HP Spectre x360,Windows 11 23H2,Idle,90.0,2:53,98.0,46.4,76.0,28.0
2025-04-03,HP Spectre x360,macOS 13.3.1,Video Editing,86.0,9:44,96.0,50.1,76.0,42.0
2025-04-19,Galaxy S22,Android 13,Idle,56.0,10:45,97.0,44.6,34.0,56.0
2025-04-22,Lenovo Yoga 9i,Windows 11 23H2,Idle,47.0,6:36,90.0,41.9,17.0,48.0
2025-04-16,iPhone 15 Pro,Android 13,Gaming,86.0,3:51,89.0,40.1,63.0,25.0
2025-04-26,Dell XPS 13,macOS 13.3.1,Idle,46.0,3:41,92.0,42.0,27.0,37.0
2025-04-02,Dell XPS 13,ios 17.4,Video Editing,82.0,5:57,87.0,38.8,12.0,80.0
2025-04-17,Surface Pro 9,Android 13,Gaming,80.0,4:42,96.0,42.6,55.0,62.0
2025-04-05,Dell XPS 13,iPadOS 17.4,Coding,100.0,10:56,98.0,54.2,26.0,38.0
2025-04-02,Galaxy S22,macOS 13.3.1,Streaming,94.0,2:30,100.0,44.9,74.0,71.0
2025-04-25,HP Spectre x360,macOS 13.3.1,Coding,42.0,4:37,85.0,47.7,59.0,25.0
2025-04-08,Dell XPS 13,ios 17.4,Gaming,100.0,7:06,91.0,49.3,64.0,80.0
2025-04-17,Galaxy Tab S8,ios 17.4,Idle,20.0,9:21,87.0,49.9,21.0,42.0
2025-04-28,Galaxy Tab S8,Windows 11 23H2,Streaming,63.0,5:52,89.0,40.5,57.0,55.0
2025-04-07,iPad Air 5,Android 13,Gaming,68.0,3:48,86.0,50.1,25.0,63.0
2025-04-18,"MacBook Pro 14""",Android 13,Video Editing,28.0,9:24,91.0,45.0,21.0,44.0
2025-04-03,Galaxy S22,iPadOS 17.4,Coding,87.0,3:31,85.0,35.7,60.0,40.0
2025-04-10,iPad Air 5,ios 17.4,Gaming,75.0,4:51,88.0,47.2,72.0,57.0
2025-04-07,iPhone 15 Pro,Windows 11 23H2,Video Editing,25.0,7:12,94.0,49.8,26.0,76.0
2025-04-22,iPad Air 5,macOS 13.3.1,Gaming,58.0,6:01,99.0,54.8,85.0,74.0
2025-04-01,"MacBook Pro 14""",ios 17.4,Gaming,45.0,6:27,89.0,44.8,37.0,44.0
2025-04-11,Galaxy Tab S8,Windows 11 23H2,Video Editing,38.0,4:23,98.0,36.2,55.0,66.0
2025-04-21,iPhone 15 Pro,iPadOS 17.4,Idle,87.0,3:59,91.0,41.4,39.0,76.0
2025-04-02,Dell XPS 13,ios 17.4,Idle,67.0,3:27,94.0,49.7,72.0,79.0
2025-04-10,Galaxy S22,iPadOS 17.4,Idle,74.0,7:36,97.0,40.4,21.0,27.0
2025-04-02,Pixel 7,ios 17.4,Streaming,29.0,5:54,96.0,45.7,47.0,75.0
2025-04-01,Galaxy S22,Windows 11 23H2,Gaming,35.0,3:06,87.0,54.9,84.0,33.0
2025-04-27,iPhone 15 Pro,Windows 11 23H2,Gaming,100.0,10:38,88.0,37.4,44.0,73.0
2025-05-01,Pixel 7,Android 14,Video Editing,51.0,8:34,97.0,50.9,14.0,61.0
2025-04-24,Galaxy S22,ios 17.4,Video Editing,33.0,4:28,89.0,35.8,64.0,33.0
2025-04-03,Surface Pro 9,macOS 13.3.1,Idle,94.0,4:17,100.0,36.5,68.0,72.0
2025-04-09,Dell XPS 13,Android 13,Coding,54.0,8:47,96.0,41.8,78.0,27.0
2025-04-02,Pixel 7,macOS 13.3.1,Streaming,58.0,2:38,98.0,46.8,61.0,80.0
2025-04-07,Pixel 7,Android 13,Idle,82.0,2:08,87.0,46.4,77.0,64.0
2025-04-24,iPhone 15 Pro,Android 13,Idle,64.0,8:35,93.0,47.9,54.0,36.0
2025-04-25,Dell XPS 13,iPadOS 17.4,Gaming,40.0,2:50,95.0,37.5,74.0,78.0
2025-04-28,Pixel 7,Windows 11 23H2,Gaming,27.0,4:08,87.0,36.0,74.0,77.0
2025-04-06,iPhone 15 Pro,Android 14,Video Editing,66.0,9:59,90.0,48.8,47.0,35.0
2025-04-29,Galaxy S22,macOS 13.3.1,Gaming,36.0,3:36,85.0,42.2,80.0,51.0
2025-04-10,Pixel 7,Android 13,Video Editing,54.0,2:29,94.0,41.8,66.0,50.0
2025-04-03,iPad Air 5,macOS 13.3.1,Video Editing,82.0,2:52,97.0,42.3,62.0,50.0
2025-04-19,Dell XPS 13,Windows 11 23H2,Gaming,97.0,3:58,90.0,40.0,70.0,64.0
2025-04-15,Surface Pro 9,macOS 13.3.1,Idle,64.0,7:28,100.0,38.7,56.0,49.0
2025-04-15,Pixel 7,ios 17.4,Coding,26.0,2:15,87.0,43.6,38.0,76.0
2025-04-19,iPhone 15 Pro,Android 13,Video Editing,62.0,4:55,86.0,40.9,81.0,60.0
2025-04-28,Surface Pro 9,iPadOS 17.4,Video Editing,41.0,3:20,94.0,37.2,83.0,49.0
2025-05-01,Galaxy S22,Android 14,Streaming,87.0,3:14,97.0,38.6,35.0,33.0
2025-04-09,HP Spectre x360,iPadOS 17.4,Coding,97.0,4:44,92.0,50.7,30.0,33.0
2025-04-12,Dell XPS 13,Android 14,Video Editing,77.0,6:53,85.0,54.5,56.0,42.0
2025-04-07,HP Spectre x360,Android 14,Coding,29.0,6:39,99.0,42.2,67.0,40.0
2025-04-09,"MacBook Pro 14""",macOS 13.3.1,Idle,77.0,9:47,94.0,46.2,42.0,32.0
2025-04-22,Pixel 7,iPadOS 17.4,Streaming,29.0,3:50,92.0,51.1,48.0,31.0
2025-04-09,Dell XPS 13,macOS 13.3.1,Coding,30.0,4:31,96.0,50.4,32.0,74.0
2025-04-16,Lenovo Yoga 9i,Windows 11 23H2,Gaming,53.0,9:26,93.0,41.1,26.0,32.0
2025-04-12,Dell XPS 13,ios 17.4,Coding,75.0,9:57,87.0,40.9,77.0,44.0
2025-04-21,"MacBook Pro 14""",Windows 11 23H2,Idle,30.0,9:24,99.0,39.2,24.0,78.0
2025-04-05,iPad Air 5,iPadOS 17.4,Streaming,82.0,9:46,100.0,35.2,65.0,28.0
2025-04-14,iPhone 15 Pro,iPadOS 17.4,Idle,85.0,3:03,98.0,41.5,76.0,29.0
2025-04-10,Galaxy Tab S8,Android 13,Gaming,34.0,3:19,98.0,41.4,31.0,51.0
2025-04-16,Galaxy S22,Windows 11 23H2,Streaming,54.0,2:21,87.0,47.2,55.0,68.0
2025-04-01,Lenovo Yoga 9i,iPadOS 17.4,Gaming,84.0,8:36,97.0,35.9,35.0,77.0
2025-04-25,Dell XPS 13,ios 17.4,Idle,71.42487683817639,3:27,99.7386529346538,58.21623256399269,75.0237954537117,81.53008117672867
2025-04-25,Lenovo Yoga 9i,iPadOS 17.4,Gaming,76.91754815793456,8:36,90.23638857347726,37.63421185234165,34.68470609600178,77.95245360021038
2025-04-17,iPad Air 5,iPadOS 17.4,Gaming,25.531471195284336,6:35,94.84983351918228,41.841132147012125,87.73463342451346,56.48825967308886
2025-05-07,Galaxy S22,iPadOS 17.4,Idle,75.82353413091498,7:36,104.85107502761589,39.25950476401438,12.882458836144474,32.38944142914665
2025-05-13,Galaxy Tab S8,Windows 11 23H2,Streaming,56.56677418815259,4:15,96.13088129552105,33.04010078701401,59.573127998958945,58.1993420378748
2025-04-13,Dell XPS 13,iPadOS 17.4,Coding,93.25656751639693,10:56,104.45408484929263,46.93441894701961,24.22082544348121,42.44738445662166
2025-04-17,iPhone 15 Pro,Android 14,Video Editing,70.29871009581704,9:59,84.40906297884261,42.37667151886076,53.29609135630868,35.6602438978524
2025-04-29,Galaxy Tab S8,ios 17.4,Idle,22.229352989797654,9:21,85.74689656938526,47.74414690688477,20.120033389118163,41.0156149040612
2025-05-04,iPhone 15 Pro,Windows 11 23H2,Video Editing,21.604237156999424,7:12,92.21176947691657,38.12525513778064,22.513347003591292,85.31684189981871
2025-05-06,iPad Air 5,Android 13,Idle,23.47668373769413,2:32,96.1549027475272,54.88813645656815,33.49267372532117,54.40182802056982
2025-05-01,"MacBook Pro 14""",Android 13,Video Editing,28.328142008306077,9:24,86.0551058982036,43.40414665228944,22.733805030592883,40.580965680940984
2025-04-29,Pixel 7,iPadOS 17.4,Streaming,32.655949135947,3:50,96.16732848504124,40.22891665334482,47.494395901088424,28.043178107084625
2025-04-06,Lenovo Yoga 9i,iPadOS 17.4,Gaming,85.13412220064448,8:36,100.71683225318127,32.03861802587115,37.61306448662305,81.91929671454307
2025-04-30,iPad Air 5,macOS 13.3.1,Gaming,61.330166515761384,6:01,103.86676502947624,57.34262280348716,95.02816494604814,73.75362736905825
2025-04-26,Galaxy S22,macOS 13.3.1,Video Editing,25.842626268260087,6:16,88.25256155022201,38.7029726141147,66.19678739792484,55.343066422877826
2025-04-14,iPad Air 5,ios 17.4,Gaming,71.40552229553428,4:51,92.27820041134113,45.400787821869145,71.04233939339755,57.56358597807619
2025-05-10,Galaxy S22,ios 17.4,Video Editing,40.0571823651251,4:28,92.35344767731812,40.748622619342434,66.35696743785917,31.342000233842544
2025-05-03,Dell XPS 13,Windows 11 23H2,Coding,77.59154294204423,9:11,93.49481108164616,41.81075709920493,78.45547339610137,74.3495947851747
2025-04-27,"MacBook Pro 14""",ios 17.4,Streaming,56.429584923664805,6:55,92.80082314658993,38.91802741879662,10.593255586520776,77.35471224876362
2025-04-25,iPhone 15 Pro,Android 13,Idle,56.80875878687693,8:35,91.02580266379499,47.034994825536096,52.19062263560006,34.61728996442349
2025-05-05,Dell XPS 13,ios 17.4,Gaming,101.0000829238391,7:06,99.03526398818744,46.48512923369099,61.86544378727161,74.36898271166773
2025-04-26,Lenovo Yoga 9i,iPadOS 17.4,Streaming,39.96361618425461,10:59,85.67496677225316,38.063251852739064,43.1111468062278,78.69476041603191
2025-05-15,Galaxy Tab S8,ios 17.4,Idle,21.630601472017133,9:21,74.05230522641656,49.30741878756262,24.1563960788172,42.63862624470564
2025-04-25,Pixel 7,iPadOS 17.4,Streaming,21.90132424228007,3:50,94.27773209697203,59.741507846046346,46.91308281671873,33.0091965052051
2025-04-08,Dell XPS 13,ios 17.4,Coding,57.74112907784988,2:43,86.30728777992985,53.430370827196064,36.36885368200263,26.698184818165952
2025-05-19,"MacBook Pro 14""",Windows 11 23H2,Video Editing,99.06040369096291,3:49,90.60220099307769,38.24762627409786,82.32337919003483,37.95631223494384
2025-05-02,HP Spectre x360,iPadOS 17.4,Coding,85.54861003208015,6:37,89.94780224731508,42.454419219921476,16.950030976916445,42.141016697700785
2025-05-04,iPad Air 5,iPadOS 17.4,Gaming,35.85660312078869,6:35,90.4899330572937,41.359530300604106,82.56148950278302,45.588317079810636
2025-05-22,"MacBook Pro 14""",ios 17.4,Streaming,60.23556507039454,6:55,85.98062727451641,42.47814795709733,8.124045616207344,73.95748488798067
2025-04-13,Surface Pro 9,Windows 11 23H2,Video Editing,89.70917750580257,4:46,93.43200263603703,42.91699973862674,62.64751028644391,35.4271347044663
2025-04-13,Galaxy Tab S8,Android 13,Video Editing,86.08957011432769,3:41,99.81165786203938,34.325027877590394,63.58322105454034,74.16623696461427
2025-04-13,HP Spectre x360,Windows 11 23H2,Idle,84.10029698940295,2:53,103.1768041777897,52.943644889565945,77.36339387733317,36.917832606836015
2025-04-06,Dell XPS 13,iPadOS 17.4,Idle,41.10789875584031,4:06,91.68968994336853,34.57673810954492,63.770310944909255,48.155303537987415
2025-04-14,Pixel 7,macOS 13.3.1,Streaming,49.57218982928993,2:38,97.4829439661225,44.81884066316527,61.748540569896235,76.34654566985435
2025-05-12,HP Spectre x360,macOS 13.3.1,Coding,41.94980877376633,4:37,81.50218316681243,46.381722825074576,63.04796320229565,21.187725652050343
2025-05-12,iPhone 15 Pro,Android 13,Video Editing,57.57455920005162,4:55,94.62149776907575,47.319501233763056,77.58540358642766,62.6447577128893
2025-04-28,Surface Pro 9,macOS 13.3.1,Idle,95.57083929109257,4:17,112.9398462870299,34.94716867472964,72.79759551082918,65.17984878425534
2025-05-02,Galaxy S22,macOS 13.3.1,Gaming,31.459605596051635,3:36,82.61283341707068,46.06209858225655,72.47405326321345,49.23273336414584
2025-04-27,iPhone 15 Pro,Android 14,Video Editing,57.69991740434611,9:59,94.44475320828889,51.17582440149005,59.80313216544373,32.633277311035144
2025-05-19,Galaxy S22,macOS 13.3.1,Gaming,37.91812084864809,3:36,82.3636850977572,33.271657999783905,83.26953604375116,56.56935843205152
2025-05-13,Galaxy Tab S8,ios 17.4,Idle,16.788370978965506,9:21,84.32852791383812,56.79608935454553,20.933464366206085,50.61866377478424
2025-05-25,Pixel 7,Android 13,Idle,62.64429055196059,8:03,85.18505072657695,36.19860957578842,16.402996932896897,44.4826564048369
2025-04-27,Dell XPS 13,ios 17.4,Coding,77.53910967435579,9:57,75.96811827675879,46.652937250749574,74.98917222204518,49.06823667166959
2025-05-17,"MacBook Pro 14""",Android 13,Gaming,77.73952054694192,2:36,91.5194619730219,52.04085520241224,41.845352507648016,40.134972390620376
2025-04-28,HP Spectre x360,macOS 13.3.1,Video Editing,89.07351138338962,9:44,89.93569811677021,44.221095309718,73.94485818181217,41.69190249329819
2025-04-13,Galaxy S22,iPadOS 17.4,Idle,77.72571251535672,7:36,93.04532170912327,45.13022410326542,16.436174682969636,26.786562492797476
2025-05-13,Surface Pro 9,Android 13,Gaming,92.23192977755039,4:42,101.59710198666055,42.033521296429285,45.240693864623864,64.08657373081702
2025-04-19,iPhone 15 Pro,ios 17.4,Idle,27.86294583916368,6:36,84.52518269519375,55.47080685614314,49.089095426841546,51.10471202997064
2025-04-16,Galaxy S22,Windows 11 23H2,Video Editing,38.024090512904124,2:44,92.21275700778725,36.80257304123235,46.10603696643288,55.84679526261092
2025-05-23,Galaxy S22,ios 17.4,Video Editing,36.52819698838318,4:28,85.21880009646426,35.49295267759537,59.49198580656973,28.301658540227344
2025-05-14,Pixel 7,Windows 11 23H2,Gaming,30.75797317558315,4:08,90.73057389383423,35.20080785653859,82.06972324625445,78.27870121375587
2025-04-09,Galaxy S22,Windows 11 23H2,Video Editing,36.20043701669992,2:44,89.41793893200207,32.36431418109011,43.999471594023866,61.08868837704166
2025-04-28,Galaxy S22,macOS 13.3.1,Streaming,96.95410444181024,10:35,91.52426847172154,43.489553450215155,57.56419269999152,64.64357839859355
2025-04-19,iPhone 15 Pro,iPadOS 17.4,Idle,86.70744573959311,3:03,94.81468142822719,38.92698145728263,77.38755498824023,34.54867286036341
2025-05-06,Pixel 7,Android 14,Video Editing,38.28732649384703,8:34,102.81871240714536,51.9918612083682,17.518615400684045,58.86033034131141
2025-04-25,Dell XPS 13,Android 14,Video Editing,83.13481170072971,6:53,85.36969157144047,53.01985139337914,58.11643495782358,47.47475410249925
2025-04-23,Dell XPS 13,Android 13,Coding,51.07641413362644,8:47,93.41862716947406,48.58771739639166,76.14178650221352,33.11848428087781
2025-05-18,"MacBook Pro 14""",Android 13,Gaming,84.31784105348527,2:36,84.47118485818811,47.28178712274777,49.52358529693101,40.11615493831737
2025-04-21,Dell XPS 13,Android 13,Coding,51.8148863535858,8:47,99.32740089743226,37.995401225616035,84.28380995709637,26.032668444077014
2025-04-24,Dell XPS 13,Android 14,Video Editing,82.23106375524623,6:53,82.27920574122666,61.69141099790929,54.48570120360578,37.693593829835116
2025-04-20,"MacBook Pro 14""",ios 17.4,Gaming,41.82515830639282,6:27,84.55037851811282,45.47118953696978,35.23344762618721,41.99932554549455
2025-04-13,iPad Air 5,iPadOS 17.4,Gaming,31.365461322687793,6:35,83.34571027898242,60.19620833444491,75.65979639109293,47.1582512103429
2025-04-29,Galaxy S22,Windows 11 23H2,Gaming,70.17630517986825,7:59,86.15749101653982,50.78614583312565,56.324454362610474,44.86368505599638
2025-05-18,iPhone 15 Pro,Android 13,Video Editing,50.22376475946065,4:55,92.0718262101709,37.20555039847499,80.62690500964626,56.738261113832
2025-04-30,Galaxy S22,ios 17.4,Video Editing,28.5147607102154,4:28,97.39704698868934,32.711277596140675,60.46602536465801,39.024252718564654
2025-04-30,Dell XPS 13,Windows 11 23H2,Coding,79.72440228322871,9:11,89.55002874313028,37.83265757648237,89.90977790975714,83.29723028857711
2025-04-18,Dell XPS 13,Android 13,Coding,50.46627640216579,8:47,99.69992587159678,36.430281072757474,79.06311147248613,22.059460618030673
2025-05-19,iPad Air 5,Windows 11 23H2,Streaming,78.72704942370568,9:26,84.07312107150675,46.30886796938559,81.07047742087578,52.385549094002926
2025-05-12,Galaxy S22,macOS 13.3.1,Streaming,90.05438466174724,10:35,81.91687603139515,43.06863717286015,66.82886769448639,66.55295460081406
2025-05-02,Galaxy S22,macOS 13.3.1,Video Editing,18.1534375279047,6:16,94.75577125109963,43.47180162774844,67.34548762124403,65.18528261050909
2025-05-06,Galaxy Tab S8,Android 13,Gaming,34.42416790128994,3:19,97.35034284845864,40.657890919982805,28.94670670847095,58.1761635069948
2025-05-15,Lenovo Yoga 9i,ios 17.4,Coding,52.62539961444798,9:41,89.3693394528705,36.276098048649196,24.566959086234043,63.51409863556979
2025-05-02,Pixel 7,Windows 11 23H2,Gaming,24.743960689718598,4:08,88.64187203306227,36.81101458851858,74.32834596823008,72.50880082649344
2025-04-12,Lenovo Yoga 9i,iPadOS 17.4,Gaming,89.53352594277524,8:36,104.25175329330672,30.739270782359966,44.9930344266695,77.02116238142945
2025-05-05,Galaxy S22,Windows 11 23H2,Gaming,77.79825154309435,7:59,91.20473135114555,49.2527356748523,66.45916181206263,48.967302015486496
2025-04-21,iPhone 15 Pro,Android 14,Video Editing,62.71276444487763,9:59,90.61112271720926,48.897448867532304,47.979503875357224,38.99049544859994
2025-05-08,Galaxy S22,macOS 13.3.1,Video Editing,28.796904304077216,6:16,95.13548684052347,41.6578855077232,58.11344107531593,62.77896311718589
2025-05-14,Galaxy Tab S8,macOS 13.3.1,Gaming,60.08671984732912,5:34,93.5168613743671,51.76575567091587,14.301083190936438,59.291953168141916
2025-05-05,"MacBook Pro 14""",Windows 11 23H2,Idle,22.418873987832548,9:24,105.07722324778845,34.56146588202145,28.52938059283108,79.85522222008393
2025-05-01,Pixel 7,ios 17.4,Streaming,28.905339284526008,5:54,86.94765683138765,43.00598332022738,56.13947232011722,79.61832904570166
2025-04-18,iPad Air 5,iPadOS 17.4,Gaming,35.869017812079896,6:35,90.19238642588742,42.54281993333004,92.40752810062294,43.752374069375996
2025-04-08,Dell XPS 13,iPadOS 17.4,Coding,99.6348510819049,10:56,97.3875147660962,55.66690142437793,26.300968506084814,37.891082537628726
2025-05-05,Galaxy Tab S8,Windows 11 23H2,Video Editing,33.49352278397292,4:23,92.99946015054124,31.355238734722512,52.322961128747,61.001966655841734
2025-05-22,iPad Air 5,Android 13,Idle,22.90606458851872,2:32,100.09412094396662,41.1509177752519,32.74024173793495,53.491643177440196
2025-04-29,Pixel 7,Android 13,Video Editing,59.151508391878735,2:29,89.87464555215583,41.800080590225015,71.65102666145391,58.070044648083474
2025-05-05,Galaxy Tab S8,Android 13,Gaming,33.60783403574642,3:19,90.78948472593464,43.241813635723545,22.496407697904495,54.14712830970557
2025-04-28,Galaxy S22,Android 13,Idle,54.26136502709832,10:45,104.61742538336648,46.508515069167665,33.15633480572104,50.58495101685283
2025-04-13,iPhone 15 Pro,Android 14,Video Editing,60.94670460941544,9:59,94.62596420025648,45.77277895844453,46.21949587948084,37.92822282193107
2025-05-02,Galaxy S22,Windows 11 23H2,Gaming,81.38870454615511,7:59,93.02706595521941,45.3181212946727,59.39636672009501,53.010729722776084
2025-04-22,Pixel 7,Android 13,Idle,88.5134868959318,2:08,94.29560653695677,43.16263551655017,79.57461072824955,56.38332984924169
2025-04-22,Dell XPS 13,ios 17.4,Video Editing,81.63225685982395,5:57,85.8024282740579,44.848216150377176,11.907702574809848,76.70710866113453
2025-05-09,Galaxy S22,iPadOS 17.4,Idle,70.11506570174527,7:36,101.86213791263287,42.74438806495183,22.924190948514582,27.977940051536965
2025-04-27,Galaxy Tab S8,Android 13,Video Editing,86.40417235532007,3:41,100.01697627040704,33.36110907273085,54.935104801626636,65.73184376151536
2025-04-30,iPad Air 5,iPadOS 17.4,Streaming,84.56374987062004,9:46,111.51671870808245,34.49284258680789,64.36297507114615,26.875784588875263
2025-04-29,"MacBook Pro 14""",ios 17.4,Gaming,69.53857756392853,4:15,81.19238553178818,37.03956678728098,17.76795683491156,26.909319194419936
2025-04-27,Dell XPS 13,macOS 13.3.1,Idle,45.41522397295321,3:41,86.2182573822475,45.74017692857747,24.98371306275562,37.35693791928594
2025-04-03,Dell XPS 13,ios 17.4,Video Editing,86.11920401703516,5:57,98.07256875706484,34.83540044569142,15.821136091217552,76.71689186446744
2025-04-02,Dell XPS 13,ios 17.4,Coding,54.90708317789429,2:43,83.19947764407631,54.0055927831895,31.164404593580617,23.592367559028506
2025-05-12,Lenovo Yoga 9i,Windows 11 23H2,Idle,50.756494645418655,6:36,88.8662970871702,35.87216638571,20.77999225767698,48.597630009622854
2025-05-13,Pixel 7,ios 17.4,Coding,25.263440909610374,2:15,90.6802622386195,44.02966719416282,42.105168543874726,68.3595144645824
2025-05-06,Dell XPS 13,ios 17.4,Coding,73.73373378399944,9:57,81.25416123471933,51.53275079642758,80.0102824377153,44.24845849685762
2025-04-30,Galaxy Tab S8,Android 13,Gaming,47.495474234305036,9:31,92.10402833223218,41.35262266466728,89.02197789036813,68.5051608033028
2025-05-07,Galaxy S22,macOS 13.3.1,Video Editing,27.334048140526722,6:16,96.47891540824433,39.4377312536593,66.11623062831121,58.1278546495585
2025-04-23,iPhone 15 Pro,Android 13,Video Editing,59.186384638794124,4:55,83.32805860449875,30.045879439518238,81.96715356918115,55.17135391550519
2025-04-26,Galaxy Tab S8,Windows 11 23H2,Video Editing,44.861989255916264,4:23,95.27729344726866,37.33570875828615,56.05283679299347,71.06420012479403
2025-05-25,iPad Air 5,Android 13,Idle,29.130429776319062,2:32,108.97270461674348,46.98503142348224,32.22667351356894,65.03551678994667
2025-04-26,iPad Air 5,macOS 13.3.1,Gaming,56.865040059886525,6:01,98.39403726413259,55.38085111477227,83.25636559296481,79.31497483043606
2025-04-16,Lenovo Yoga 9i,iPadOS 17.4,Gaming,79.85698636939549,8:36,99.6028876329851,26.5588324783841,32.356359479122986,84.61241662489766
2025-04-30,iPad Air 5,ios 17.4,Gaming,75.7374096917679,4:51,77.01330842112756,51.852830455285186,71.8730864243034,69.24899668062382
2025-04-28,HP Spectre x360,iPadOS 17.4,Coding,74.82547451110484,6:37,94.85120085184762,40.14136142625048,12.35462800926605,45.18141484304455
2025-04-27,Galaxy Tab S8,Android 13,Video Editing,77.06200757424325,3:41,96.62888767167092,35.13350259626197,52.42931409561349,70.45653255777341
2025-04-25,Lenovo Yoga 9i,Windows 11 23H2,Idle,51.158426330316004,6:36,82.7550688496912,35.88505767517619,23.69430701676657,43.39751499778312
2025-04-29,iPad Air 5,iPadOS 17.4,Gaming,34.754548507238326,6:35,78.25610378660254,35.79159612332434,83.93458461034925,54.07257093002287
2025-04-20,iPhone 15 Pro,Android 13,Gaming,74.53620025865236,3:51,87.16139442368654,45.474102427280776,67.76633233771526,20.14869242676002
2025-05-10,iPhone 15 Pro,iPadOS 17.4,Idle,91.19950045077982,3:59,89.32505110550314,43.402885875712805,45.34102288113571,83.38910076588756
